Medicine,Condition,Review
Liraglutide,"Diabetes, Type 2","""Been on Victoza for about 3 months. Lost 20+ pounds. Started at .6 for two weeks then upped to 1.2 for a week and 1.8 since then. I&#039;ve tried everything to control my blood sugar. Before Victoza, I was running about 165-195 in the morning and 140-150 all day. Metformin made it higher. Xigduo made it higher and had horrible side effects. Tried a few others with zero positive results. 

Victoza worked the best once I hit 1.8 dose. My morning BS is never higher than about 110 and I&#039;m always &lt;100 throughout the day. 

The biggest thing is that it completely controls my appetite. I work from home full-time and used to snack all day. With Victoza, I have to make myself eat and I eat very small portions. I&#039;m just not hungry AT ALL. Love it!"""
Victoza,"Diabetes, Type 2","""I have been on Victoza for many months now, I reached the highest dose, tried that for a few weeks and developed severe Gastroenteritis, abdominal pain, flatulence and severe belching so had to go on the lowest dose again.
Now I have been taking 1.2 for two weeks and the symptoms have started again, last eve, night and today have been miserable and painful.

I am ready to stop taking Victoza completely, the discomfort is just not worth it for some weight loss and a bit better blood sugar control. I will just have to have an increase in the amount of Lantus and Novalog that I have been taking.

Discouraged with this med."""
Canagliflozin,"Diabetes, Type 2","""I have had Type I insulin-dependent diabetes for 39 years and took Invokana for over a year.  My A1C came down only a few tenths of a point, and I experienced drastic swings in blood glucose and ketoacidosis.  I stopped taking Invokana 2 months ago, but my hair loss has continued and has accelerated since discontinuing its use."""
Novolog,"Diabetes, Type 2","""Novolog pen does not glide well when giving yourself a shot. The medication worked well for me with minimal side affects. I have been on it for 2 yrs, but my coupon has expired &amp; I cannot afford it now."""
Colesevelam,"Diabetes, Type 2","""Surprised at how easy it is to swallow the pills."""
Invokana,"Diabetes, Type 2","""I&#039;m pre-diabetic and was prescribed this medicine 2.5 months ago. I started at 100 mg for a week, then went to 300 mg. I had no idea I could lose weight so quickly. I am down about 25 lbs without changing my eating habits. I drink tons more because you are always thirsty, which means you urinate more often. Yeast infections and some hair loss seem to be the negatives but will stay on it as long as the benefits out weigh the negatives."""
Linagliptin,"Diabetes, Type 2","""Very interesting medicine. It has made a huge difference in the treatment of Diabetes mellitus. """
Victoza,"Diabetes, Type 2","""I have been taking victoza for three weeks and have lost ten pounds but at the cost of being sick as a dog every day. Cannot eat or stand the smell food cooking. I am done with this junk as of today."""
Trulicity,"Diabetes, Type 2","""I have been on trulicity for a year and 6 months. First year .75 then went up to 1.5 last 6 months. I like it no side effects at all. Even with the high dosage. I went from 203lbs down to 180lbs. 23 lbs. lost without trying. Sugar is still going up. But it bought me probably 2 years or more before insulin. Which means a lot when you drive for a living. My age is 58 and a half."""
Liraglutide,"Diabetes, Type 2","""I have been on Victoza for 1 week now.  I have lost several pounds thus far! My blood sugars numbers have been fantastic....between 85-100.  I have had some stomach discomfort (i.e. loose and frequent bowel motions and queasiness).  It&#039;s like my brain is finally telling me when to stop eating!  It&#039;s amazing...I&#039;ve never known this!"""
Januvia,"Diabetes, Type 2","""Been taking januvia 100 mg a day for 12 days and it has just started to work really well
Blood sugar is 6.9 mmol at mid day 
Very pleased and I have no side effects
Fortunately in England diabetics get there meds free on nhs"""
Victoza,"Diabetes, Type 2","""Have been on Victoza for 6  weeks at this time, at the 1.2 dosage.  Experienced the nausea, however, it has subsided, no noticeable headaches, definitely lowered by blood sugars, morning and night times.  Have lost 22 lbs so far.  Am expecting to move up to the 1.8 after
2 months.  I don&#039;t miss the food, and definitely don&#039;t miss the weight."""
Tradjenta,"Diabetes, Type 2","""My face has totally broken out and I never Breakout!  Blood sugar still high. Dropped it just a free points. I would rather take a shot everyday that truly lowered it."""
Liraglutide,"Diabetes, Type 2","""I just started taking Victoza on 10/18/11 and the morning after taking it I was sick, vomiting several times and the nausea stayed around for a long time. Had me scared to take the second injection. I started with 0.6 and am worried if this is how I feel on the small dose, how will I feel if I ever get on the 1.8 dosage. I see that a lot of people have experienced nausea but haven&#039;t read anyone mention that they actually vomited. I feel weak from hardly eating in three days and have only taken two injections thus far. I really want this to work for me. I was prescribed Phenergen 25 mg for nausea and vomiting. Hope I&#039;ll have something better to report soon."""
Byetta,"Diabetes, Type 2","""Byetta is my life saver. It not only lowered my blood sugar levels but has helped me lose weight with only mild side effects (nausea). I have lost 28 pounds in three months and my appetite it way less than it used to be. It is expensive but as they say you get what you pay for."""
Dulaglutide,"Diabetes, Type 2","""I have been on Trulicity 12 weeks now.  The first 2 weeks I was on the .75mg injection then went to 1.5mg. The first 2 days after my injection I am very nauseated and usually vomit around 4am. My issue is indigestion and of course nausea and vomiting. I have found that eating no greasy foods, dairy products and no eating past 6pm has helped me tremendously on cutting down on the indigestion and nausea and vomiting. My blood sugars are doing great and my A1C is coming down. I like so many others do not have an appetite and I experience diarrhea often. I have lost 34 pounds so far. I am very happy with the medication and just learning what you can and cannot eat is the key factor."""
Glyburide,"Diabetes, Type 2","""This drug saved my life after being diagnosed when I was admitted to an ER with high fasting blood. I am off Insulin and only on this. I do get low blood sugar later in the day. All in all a great medication."""
Trulicity,"Diabetes, Type 2","""I just started this medication..75 dose. I&#039;m worried about the lab tests on rats causing thyroid tumors...anyone else know about this?"""
Januvia,"Diabetes, Type 2","""I have been on Januvia for about 7 weeks and have had diarrhea the whole time. I&#039;m also on metformin and between the 2 I don&#039;t think I&#039;ve had a solid poop in weeks but my blood sugars are down from 25 to under 10 most days. I have gained weight 15lbs and I can&#039;t handle the cold this year, always getting chilled. I also have to take mine with food otherwise I get an acid stomach all day no matter what I do. I will be talking to my doctor to see if there are other options or if the benefits outweigh the negatives."""
"Insulin inhalation, rapid acting","Diabetes, Type 2","""My husband and I both love Exubera.  It gave him more control and gave him back his dignity.  He is needle phobic and I had to give him his insulin shots.  This also limited my freedom as I had to be there twice a day to administer the shot.  So no overnight visits to my Mom unless he went too.  With Exubera, diet and exercise, he was able to completely eliminate insulin shots.  He also said that the shots were very painful for him and his skin became very sensitive and bruised."""
Victoza,"Diabetes, Type 2","""I have tried taking Victoza 3 times now and I get so sick (headache, nausea and vomiting) that I have to stop after 2 days each time.  I have taken a lots of different meds in my  51 year&#039;s but nothing has ever made me that sick. I was hoping to lose about 35 lbs, but I can&#039;t stand being that sick."""
